Time,Latitude,Longitude,Instant_Fuel_Consumption,Coolant_Temp,Engine_RPM,Speed,Gear,Acceleration,Acceleration_Sign,Distance,Fuel_Consumed_Liters,Lap_Number
126.83999999999997,41.574912000000005,2.261612164,13.668,85.0,10795.52,144.16,4,0.20613886057311118,Positive,4.56022233333334,0.7488215303661143,1
126.85000000000008,41.5749115,2.261616038,13.606,85.0,10800.84,144.22,4,0.20557254502208616,Positive,4.560622944444456,0.7488760375138926,1
126.86000000000007,41.574911,2.261619912,13.544,85.0,10806.16,144.28,4,0.20500622947106112,Positive,4.561023722222233,0.7489303188561148,1
126.87000000000006,41.5749105,2.261623786,13.482,85.0,10811.48,144.34,4,0.20443991392003608,Positive,4.561424666666677,0.7489843741861147,1
126.88000000000005,41.57491,2.26162766,13.42,85.0,10816.8,144.4,4,0.20387359836901106,Positive,4.561825777777787,0.7490382032972258,1
126.89000000000004,41.574909500000004,2.261631534,13.358,85.0,10822.12,144.46,4,0.20330728281798602,Positive,4.562227055555565,0.7490918059827814,1
126.90000000000003,41.574909,2.261635408,13.296,85.0,10827.44,144.52,4,0.202740967266961,Positive,4.562628500000008,0.7491451820361147,1
126.91000000000003,41.5749085,2.261639282,13.234,85.0,10832.76,144.58,4,0.20217465171593596,Positive,4.563030111111119,0.7491983312505591,1
126.92000000000002,41.574908,2.261643156,13.172,85.0,10838.08,144.64,4,0.20160833616491092,Positive,4.563431888888895,0.749251253419448,1
126.93,41.5749075,2.26164703,13.11,85.0,10843.4,144.7,4,0.2010420206138859,Positive,4.56383383333334,0.7493039483361146,1
126.94,41.574907,2.261650904,13.048,85.0,10848.72,144.76,4,0.20047570506286086,Positive,4.56423594444445,0.7493564157938923,1
126.94999999999999,41.574906500000004,2.261654778,12.986,85.0,10854.04,144.82,4,0.19990938951183584,Positive,4.564638222222228,0.7494086555861145,1
126.95999999999998,41.574906,2.261658652,12.924,85.0,10859.36,144.88,4,0.1993430739608108,Positive,4.565040666666671,0.7494606675061144,1
126.96999999999997,41.5749055,2.261662526,12.862,85.0,10864.68,144.94,4,0.19877675840978576,Positive,4.565443277777782,0.7495124513472254,1
126.98000000000008,41.574905,2.2616663999999997,12.8,85.0,10870.0,145.0,4,0.19821044285876072,Positive,4.565846055555564,0.7495640069027816,1
126.99000000000007,41.5749045,2.261670274,12.738,85.0,10875.32,145.06,4,0.1976441273077357,Positive,4.566249000000008,0.7496153339661149,1
127.00000000000006,41.574904000000004,2.261674148,12.676,85.0,10880.64,145.12,4,0.19707781175671066,Positive,4.566652111111119,0.7496664323305593,1
127.01000000000005,41.5749035,2.261678022,12.613999999999999,85.0,10885.96,145.18,4,0.19651149620568564,Positive,4.567055388888896,0.7497173017894482,1
127.02000000000004,41.574903,2.261681896,12.552,85.0,10891.28,145.24,4,0.1959451806546606,Positive,4.56745883333334,0.7497679421361148,1
127.03000000000003,41.5749025,2.26168577,12.49,85.0,10896.6,145.3,4,0.19537886510363556,Positive,4.567862444444451,0.7498183531638924,1
127.04000000000002,41.574902,2.261689644,12.427999999999999,85.0,10901.92,145.36,4,0.19481254955261054,Positive,4.568266222222229,0.7498685346661146,1
